dataset,n_subsets,auc_pred,auc_att,seed
benzene,5,0.99998,0.995846293588095,5
benzene,5,1.0,0.978867780729236,6
benzene,5,0.99998,0.9952013270705222,7
benzene,5,0.99999,0.9977403481426816,8
benzene,5,0.99998,0.9979118081069549,9
benzene,10,0.99998,0.9968870341448026,0
benzene,10,0.99997,0.9744855379707675,1
benzene,10,0.99999,0.9358499564146135,2
benzene,10,0.99999,0.9600780121140458,3
benzene,10,1.0,0.9883552764451958,4
benzene,10,0.99999,0.9731206904742766,5
benzene,10,0.99998,0.9893071515229954,6
benzene,10,0.99999,0.9790420708896944,7
benzene,10,0.99998,0.9964867392783845,8
benzene,10,0.99999,0.9762851385955101,9
benzene,25,0.99998,0.9972023875435181,0
benzene,25,0.99999,0.9784566683119027,1
benzene,25,0.99999,0.9881529286163933,2
benzene,25,0.99997,0.9885963512070395,3
benzene,25,0.99999,0.9900457492104091,4
benzene,25,0.99998,0.9655576250917955,5
benzene,25,0.99997,0.989655027089811,6
benzene,25,0.99999,0.9920853224709576,7
benzene,25,1.0,0.9416410739072991,8
benzene,25,0.99998,0.9959177883555822,9
benzene,50,0.99997,0.9985492821284301,0
benzene,50,0.99991,0.9983063784778038,1
benzene,50,0.99995,0.9961948088563441,2
benzene,50,0.99996,0.9969449539432556,3
benzene,50,0.99997,0.9829295676678431,4
benzene,50,0.99999,0.9963938704538261,5
benzene,50,0.99998,0.9964468906731118,6
benzene,50,0.99998,0.9891725862810387,7
benzene,50,0.99995,0.9921004628848841,8
benzene,50,0.99998,0.995678620359527,9
benzene,100,0.99999,0.9917907945668524,0
benzene,100,0.99988,0.9958340394742112,1
benzene,100,0.9999,0.9990700891816017,2
benzene,100,0.99996,0.9885687047629486,3
benzene,100,0.99994,0.999130854247455,4
benzene,100,0.99998,0.9947894715577608,5
benzene,100,0.99998,0.9854394723806918,6
benzene,100,0.99996,0.9933614602401153,7
benzene,100,0.99998,0.9893831516396303,8
benzene,100,0.99995,0.9965477032569394,9
benzene,200,0.99989,0.9982516529027823,0
benzene,200,0.99998,0.9979993279985396,1
benzene,200,0.99999,0.9897735275861351,2
benzene,200,0.99994,0.9929389423283472,3
benzene,200,0.99994,0.9945382522248707,4
benzene,200,0.9999,0.9982950939695079,5
benzene,200,0.99994,0.9955845706875907,6
benzene,200,0.99993,0.9978297340310012,7
benzene,200,0.99999,0.997283738134128,8
benzene,200,0.99999,0.9964835811916135,9
