dataset,model,method,AUROC mean,AUROC std,ATT AUROC mean,ATT AUROC std
logic7,gcn,CAM,0.9727434890833321,0.01995052749859012,0.8055724526660862,0.09754320940879527
logic7,gcn,GradInput,0.9727434890833321,0.01995052749859012,0.5728056862227088,0.09961148160278109
logic7,gcn,GradCAM-last,0.9727434890833321,0.01995052749859012,0.7487360387206734,0.13191532084716145
logic7,gcn,GradCAM-all,0.9727434890833321,0.01995052749859012,0.7305780170587324,0.15050325466730277
logic7,gcn,SmoothGrad(GradInput),0.9727434890833321,0.01995052749859012,0.6183255857894524,0.10209428394453963
logic7,gcn,IG,0.9727434890833321,0.01995052749859012,0.8407906616992008,0.12264283080855566
logic7,gcn,Random,0.47658702079193527,0.08003720582167716,0.4226726185379271,0.01705933510194294
logic7,gcn,AttWeights,,,,
logic7,graphnet,CAM,0.9885685738678524,0.02296577896947712,0.544372933634013,0.2250421400030104
logic7,graphnet,GradInput,0.9885685738678524,0.02296577896947712,0.5677741938641269,0.10583136720484017
logic7,graphnet,GradCAM-last,0.9885685738678524,0.02296577896947712,0.5304739300480518,0.2180869846529487
logic7,graphnet,GradCAM-all,0.9885685738678524,0.02296577896947712,0.7534184837718055,0.11923636502415434
logic7,graphnet,SmoothGrad(GradInput),0.9885685738678524,0.02296577896947712,0.5969836329100402,0.1081230432143396
logic7,graphnet,IG,0.9885685738678524,0.02296577896947712,0.7691918469635517,0.15437178875348878
logic7,graphnet,Random,0.48022585179082056,0.09094154142133438,0.4226726185379271,0.01705933510194294
logic7,graphnet,AttWeights,,,,
logic7,mpnn,CAM,0.9724827168824655,0.0176336034255645,0.815803758023989,0.08181846068513393
logic7,mpnn,GradInput,0.9724827168824655,0.0176336034255645,0.5636075019952821,0.09913851696948604
logic7,mpnn,GradCAM-last,0.9724827168824655,0.0176336034255645,0.8074956047525212,0.08374907025659764
logic7,mpnn,GradCAM-all,0.9724827168824655,0.0176336034255645,0.7826564289111206,0.09912743658625288
logic7,mpnn,SmoothGrad(GradInput),0.9724827168824655,0.0176336034255645,0.6071533056192091,0.112201356737762
logic7,mpnn,IG,0.9724827168824655,0.0176336034255645,0.805345017529786,0.12369030204469252
logic7,mpnn,Random,0.502922502786798,0.09247503869658107,0.4226726185379271,0.01705933510194294
logic7,mpnn,AttWeights,,,,
logic7,gat,CAM,0.9751392552179433,0.017998021074559327,0.6962772713430894,0.06850818601899185
logic7,gat,GradInput,0.9751392552179433,0.017998021074559327,0.4989789759306363,0.10456525667197486
logic7,gat,GradCAM-last,0.9751392552179433,0.017998021074559327,0.583735234053824,0.08955859565176452
logic7,gat,GradCAM-all,0.9751392552179433,0.017998021074559327,0.557320867329714,0.09004675216757987
logic7,gat,SmoothGrad(GradInput),0.9751392552179433,0.017998021074559327,0.5138309917717052,0.12412011213033602
logic7,gat,IG,0.9751392552179433,0.017998021074559327,0.7454608248851192,0.10276764871393439
logic7,gat,Random,0.9751392552179433,0.017998021074559327,0.43213660445044066,0.015172983353409225
logic7,gat,AttWeights,0.9751392552179433,0.017998021074559327,0.5371736974835591,0.021729610582473358
logic8,gcn,CAM,0.9309106573835274,0.052197225092685436,0.9318060749431473,0.025355076893133353
logic8,gcn,GradInput,0.9309106573835274,0.052197225092685436,0.5695057369893057,0.05379596085525059
logic8,gcn,GradCAM-last,0.9309106573835274,0.052197225092685436,0.7165350898329288,0.08499201986356365
logic8,gcn,GradCAM-all,0.9309106573835274,0.052197225092685436,0.6674359668352111,0.09875655222144353
logic8,gcn,SmoothGrad(GradInput),0.9309106573835274,0.052197225092685436,0.5507684728585567,0.06290312043049208
logic8,gcn,IG,0.9309106573835274,0.052197225092685436,0.8335069867327762,0.0754338985231938
logic8,gcn,Random,0.4819304584764838,0.08205193160519347,0.4964689562450296,0.009264244221378526
logic8,gcn,AttWeights,,,,
logic8,graphnet,CAM,0.942132582468393,0.06064053063809284,0.74470647776399,0.14773458164883913
logic8,graphnet,GradInput,0.942132582468393,0.06064053063809284,0.5692726152095414,0.07219992091782272
logic8,graphnet,GradCAM-last,0.942132582468393,0.06064053063809284,0.6881527334605915,0.13326620298113054
logic8,graphnet,GradCAM-all,0.942132582468393,0.06064053063809284,0.6564920406128127,0.09876218030046056
logic8,graphnet,SmoothGrad(GradInput),0.942132582468393,0.06064053063809284,0.5895749350457118,0.07162142602099937
logic8,graphnet,IG,0.942132582468393,0.06064053063809284,0.7451318759699076,0.10138535213598553
logic8,graphnet,Random,0.5127384196185285,0.07705801723659124,0.4964689562450296,0.009264244221378526
logic8,graphnet,AttWeights,,,,
logic8,mpnn,CAM,0.9253847408643741,0.05304671822665775,0.9491082862283119,0.029732971858203533
logic8,mpnn,GradInput,0.9253847408643741,0.05304671822665775,0.5656756980665545,0.06691322727663293
logic8,mpnn,GradCAM-last,0.9253847408643741,0.05304671822665775,0.9018193915541851,0.06566844292159793
logic8,mpnn,GradCAM-all,0.9253847408643741,0.05304671822665775,0.7629909135951601,0.05952725491707401
logic8,mpnn,SmoothGrad(GradInput),0.9253847408643741,0.05304671822665775,0.5945511769339616,0.0697505744184688
logic8,mpnn,IG,0.9253847408643741,0.05304671822665775,0.7936964807579352,0.07220706160312904
logic8,mpnn,Random,0.5071198613908304,0.06928723311084106,0.4964689562450296,0.009264244221378526
logic8,mpnn,AttWeights,,,,
logic8,gat,CAM,0.9640279928894634,0.02409551547643166,0.8512001615677397,0.034520870089268754
logic8,gat,GradInput,0.9640279928894634,0.02409551547643166,0.5216888579823344,0.056170639669242996
