dataset,model,method,AUROC mean,AUROC std,ATT AUROC mean,ATT AUROC std
logic10,graphnet,GradCAM-all,0.9996473853889739,0.00018838149170224866,0.6997384069811087,0.08249485113582448
logic10,graphnet,SmoothGrad(GradInput),0.9996473853889739,0.00018838149170224866,0.5758845475288963,0.08491289642893458
logic10,graphnet,IG,0.9996473853889739,0.00018838149170224866,0.7132843451713556,0.11800098816318691
logic10,graphnet,Random,0.5758685475357005,0.017766707394664703,0.5061431936738856,0.005268907898884195
logic10,graphnet,AttWeights,,,,
logic10,mpnn,CAM,0.9767166764188586,0.0014775900075790756,0.7563183198705816,0.03341761495050408
logic10,mpnn,GradInput,0.9767166764188586,0.0014775900075790756,0.5376244621853119,0.05001896855920768
logic10,mpnn,GradCAM-last,0.9767166764188586,0.0014775900075790756,0.7332342767416165,0.055305423909907975
logic10,mpnn,GradCAM-all,0.9767166764188586,0.0014775900075790756,0.6274464720861039,0.05624554993222586
logic10,mpnn,SmoothGrad(GradInput),0.9767166764188586,0.0014775900075790756,0.5652545596835027,0.07125934019331054
logic10,mpnn,IG,0.9767166764188586,0.0014775900075790756,0.6261542827075143,0.09313621120588941
logic10,mpnn,Random,0.627281630271712,0.004359339218872748,0.4954724896465968,0.008892490475278946
logic10,mpnn,AttWeights,,,,
logic10,gat,CAM,0.9684379688281378,0.002327081848472716,0.6540001965101393,0.040143398494171624
logic10,gat,GradInput,0.9684379688281378,0.002327081848472716,0.40916016253664633,0.05316488851820066
logic10,gat,GradCAM-last,0.9684379688281378,0.002327081848472716,0.45355218815285014,0.06172842466822258
logic10,gat,GradCAM-all,0.9684379688281378,0.002327081848472716,0.4305248309342134,0.052523809263858905
logic10,gat,SmoothGrad(GradInput),0.9684379688281378,0.002327081848472716,0.354923470281691,0.07173327246279042
logic10,gat,IG,0.9684379688281378,0.002327081848472716,0.5482745268866159,0.08169777399780596
logic10,gat,Random,0.9684379688281378,0.002327081848472716,0.4995512051605802,0.01114246981055063
logic10,gat,AttWeights,0.9684379688281378,0.002327081848472716,0.5087453159364685,0.019434129558648264
benzene,gcn,CAM,1.0,0.0,0.975599430951077,0.020291239050034535
benzene,gcn,GradInput,1.0,0.0,0.7386287780028894,0.05810431106236867
benzene,gcn,GradCAM-last,1.0,0.0,0.7685169290224138,0.06951244727291729
benzene,gcn,GradCAM-all,1.0,0.0,0.7796048987633384,0.06390356321470221
benzene,gcn,SmoothGrad(GradInput),1.0,0.0,0.7302194608286687,0.05820988100205883
benzene,gcn,IG,1.0,0.0,0.9643771743799159,0.06079899943668874
benzene,gcn,Random,0.799457132790466,0.0010403299947157388,0.6157353745933873,0.00039190987478992823
benzene,gcn,AttWeights,,,,
benzene,graphnet,CAM,1.0,0.0,0.7638645680831874,0.11409745905037048
benzene,graphnet,GradInput,1.0,0.0,0.5482957505608811,0.060876299477805165
benzene,graphnet,GradCAM-last,1.0,0.0,0.6609208128641395,0.14608830813620854
benzene,graphnet,GradCAM-all,1.0,0.0,0.8458474262750411,0.060565519014028166
benzene,graphnet,SmoothGrad(GradInput),1.0,0.0,0.5508886698074075,0.065317135841572
benzene,graphnet,IG,1.0,0.0,0.8686249000629036,0.16085489401864014
benzene,graphnet,Random,0.8075599742266409,0.05094592558345959,0.6153777817488137,0.003029753626104775
benzene,graphnet,AttWeights,,,,
benzene,mpnn,CAM,1.0,0.0,0.9684996560168415,0.023444531252150735
benzene,mpnn,GradInput,1.0,0.0,0.5401859673548738,0.04283706122060828
